Population in severe multidimensional poverty (%),"Population, total (millions)",Expected years of schooling (years),"Human Development Index (HDI), male","Population, ages 65 and older (millions)","Population, urban (%)",Inequality-adjusted education index,"Maternal mortality ratio (deaths per 100,000 live births)","Foreign direct investment, net inflows (% of GDP)",Inequality-adjusted income index,Employment to population ratio (% ages 15 and older),"Population with at least some secondary education, male (% ages 25 and older)","Gross domestic product (GDP), total (2011 PPP $ billions)",Multidimensional poverty index (MPI),"Estimated gross national income per capita, male (2011 PPP$)",Life Expectancy Index,"Labour force participation rate, male (% ages 15 and older)",Gender Development Index (GDI),Inequality in life expectancy (%),Female share of paid employment in non-agriculture,Domestic credit provided by financial sector (% of GDP),Adult literacy rate (% ages 15 and older),Exports and Imports (% of GDP),Youth unemployment rate (% of labour force ages 15-24),HDI rank,Total unemployment rate (% of labour force),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"Mean years of schooling, male (years)",Life expectancy at birth (years),Overall loss in HDI due to inequality (%),Inequality-adjusted life expectancy index,"Population in multidimensional poverty, headcount (thousands)","Dependency ratio, young age (0-14) (per 100 people ages 15-64)","Human Development Index (HDI), female","Net migration rate (per 1,000 people)","Gross enrolment ratio, secondary (% of secondary school-age population)","Under-five mortality rate (per 1,000 live births)","Remittances, inflows (% of GDP)",Inequality-adjusted HDI (IHDI),"Estimated gross national income per capita, female (2011 PPP$)",Primary school teachers trained to teach (%),Inequality in education (%),"Infant mortality rate (per 1,000 live births)",Coefficient of human inequality,Gross domestic product (GDP) per capita (2011 PPP $),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Sex ratio at birth (male to female births),Internet users (% of population),Education index,"Population with at least some secondary education, female (% ages 25 and older)","Youth unemployment rate, female to male ratio","Life expectancy at birth, male (years)","Gross enrolment ratio, pre-primary (% of preschool-age children)",Inequality in income (%),"Mean years of schooling, female (years)",Gross fixed capital formation (% of GDP),Share of seats in parliament (% held by women),"Population, ages 15–64 (millions)","Expected years of schooling, male (years)","Labour force participation rate, female (% ages 15 and older)",Forest area (% of total land area),Population with at least some secondary education (% ages 25 and older),"Adolescent birth rate (births per 1,000 women ages 15-19)",Mean years of schooling (years),name,Median age (years),"Gross enrolment ratio, primary (% of primary school-age population)","Total unemployment rate, female to male ratio",Mobile phone subscriptions (per 100 people),"Life expectancy at birth, female (years)","Population, under age 5 (millions)",Gender Inequality Index (GII),"Gross enrolment ratio, tertiary (% of tertiary school-age population)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, intensity of deprivation (%)","HIV prevalence, adult (% ages 15-49)",Private capital flows (% of GDP),Income index,Labour force participation rate (% ages 15 and older),Gross national income (GNI) per capita (2011 PPP$),Human Development Index (HDI),Population near multidimensional poverty (%),"Expected years of schooling, female (years)"
,26.832215,8.9895,0.543270483,0.747,34.606,0.181533176,385,,0.376196265,41.65108109,33.174,,,3530.44221,0.677738462,73.11554718,0.736827793,29.395,,,70.07401,,30.07423401,168,15.94210815,4.893864016,4.222,64.053,33.72545042,0.478517241,,70.70128273,0.400296791,-0.397,,41.9,,0.319709856,1044.686459,,48.09012,33.8,32.68685,,,1.05,25.099514,0.349708333,15.632,1.172867387,62.687,,20.57543,1.91,,0.486618005,15.283,10.35681,25.82844353,1.039831809,24.402,61.455,3,Yemen,19.32579917,,2.07378979,67.980973,65.443,3.925,0.767489472,,,,0.1,,0.473652253,49.55047226,2300.272279,0.482402156,,7.56963
,2.793335,12.835763,0.737773572,0.254,54.788,0.639844517,89,5.67257,0.466926534,55.95437241,59.38369985,23.2492682,,10085.64712,0.858769231,72.20063019,0.974650367,11.9175,,50.44512532,88.69002,77.0683,32.67392349,94,13.71552086,13.58281992,9.571385493,75.82,16.56485306,0.756425408,,35.04365412,0.719071283,-7.01,,15.7,16.857,0.609110901,6628.33184,,5.60595,13.5,15.88866,8528.896333,,1.05,43.175897,0.677844119,67.07411841,1.284079281,73.465,,30.14253,9.651318722,,16.66666667,1.879,12.606857,57.67076492,30.95106187,63.37723546,59.672,9.638854408,Jamaica,29.11714591,,1.798641683,111.514583,78.248,0.204,0.422206414,,,,1.6,-15.05336,0.668398862,64.84870911,8350.023078,0.730041143,,13.052884
,2.896679,14.17968,0.778474014,0.358,57.407,0.630302934,29,8.56787,0.571196292,41.60848618,90.45197132,30.03949962,,13185.99894,0.891815385,60.66126633,0.959388518,9.9239,44.7,62.58845515,97.62414,71.3695,32.721035,75,17.28909302,17.95075218,9.826355111,77.968,13.46051405,0.803312518,,26.85619132,0.74685903,-6.329,,14,9.13953,0.661312016,7365.236678,,11.9,12.5,13.38495333,10397.28739,,1.08,63.252933,0.715440333,90.19713892,0.92860884,75.593,,18.33096,9.534377618,27.28329901,20.71428571,2,13.97826,40.32654572,28.15693431,90.3246,21.663,9.64681,Albania,34.30809777,,0.83637096,106.380207,80.557,0.185,0.26726616,,,,,-11.54499,0.699403705,50.30592346,10252.46983,0.764173728,,14.41327
,0.193228,12.8752102,,0.01,19.098,,51,2.05037,,38.68661118,70.3925,1.077065956,,7181.447575,0.825738462,58.00854492,,13.2564,,76.10922126,99.01502,77.7,14.14722633,104,5.819967747,9.1059707,,73.673,,0.716275268,,64.88082911,,-13.384,,17.5,20.2676,,3444.366134,,,15,,5574.067711,,1.08,25.40701,0.701508208,77.81159867,1.139709781,70.66,,,,,6.12244898,0.111,12.51505478,23.12877655,60.42402827,74.51024788,24.95,10.31590441,Samoa,21.16714782,,1.300113341,58.516364,77.025,0.024,0.438802056,,,,,,0.601759774,41.07729721,5371.507869,0.703773335,,13.28103
,9.156963,13.33,0.837865861,0.104,85.541,,6,2.9641,,77.13811493,64.488,605.2953242,,80420.87869,0.878753846,91.56331635,0.972190971,5.8009,,100.1121512,93.83585,,11.0769968,42,3.654928923,1.339866848,8.7,77.119,,0.827778214,,16.41157181,0.814565626,9.264,,6.8,,,27254.10786,,,5.9,,66102.19177,,1.05,91.243406,0.686944444,77.422,1.211642776,76.471,,,10.56893411,,22.5,7.775,12.9,41.90280533,3.858851675,67.7242048,29.661,9.5,United Arab Emirates,33.27907039,,3.129127653,187.348138,78.665,0.491,0.232252637,,,,,,0.981154618,80.06441498,66203.29979,0.839799159,,13.9
,1311.050527,11.69659,0.670765103,73.63,32.747,0.324118339,174,2.132,0.511846637,51.85746002,61.404,7512.499796,,8895.822686,0.743415385,79.10949707,0.818761293,23.9943,,76.7517723,72.13095,,9.700888634,131,3.480498314,8.561696605,8.17,68.322,27.1499848,0.565038067,,43.88717537,0.549196503,-0.409,,47.7,3.32329,0.454262677,2185.201656,,39.402,37.9,26.48443333,5730.137505,,1.11,26,0.534866396,35.328,1.014389159,66.911,,16.057,4.752,,12.21374046,859.993,11.2773,26.7999897,23.77311911,48.736,24.484,6.298833561,India,26.62027046,,1.136053772,78.841363,69.858,123.711,0.529904256,,,,,,0.609754997,53.72743607,5663.474799,0.623558794,,11.86522
,9.753968,12.65043,0.778895712,0.549,54.62,0.663358564,25,7.63025,0.702228774,61.93133545,97.52309,161.13303,,21840.63466,0.783015385,68.32061005,0.939845954,21.6798,,35.35106206,99.81078,72.6388,14.30603981,78,4.729383469,7.764904511,11.98759,70.896,13.17349811,0.613259215,,30.25110251,0.732041984,-0.342,,31.7,2.39403,0.658602965,11033.39193,,8.3,27.9,12.94626667,16695.38942,,1.14,77,0.723400833,93.85001,1.113926027,67.76,,8.859,10.33241,28.59760708,16.93548387,7.066,12.65441,61.85676575,13.7843429,95.60781,59.777,11.16,Azerbaijan,30.92705628,,1.3871857,111.282632,74.092,0.93,0.325520416,,,,0.2,-3.617556,0.770486141,65.00569916,16413.26033,0.758527581,,12.64386
,2.135022,10.74118,0.504593486,0.088,27.312,0.380442546,487,,0.28017573,48.14423752,22.49021703,,,4020.037416,0.462769231,73.89395905,0.961689322,33.4793,,,79.36094,,37.55830383,160,27.51769638,6.928653802,5.3,50.08,35.63212711,0.307837332,,60.33723904,0.485262168,-1.93,,90.2,,0.320145174,2631.475003,,24.3,69.2,34.93949,,,1.03,16.071708,0.502566111,23.55345546,1.204490769,49.89,,47.03917,7.034597279,,24.83660131,1.276,10.27452,59.24567795,1.613965744,23.0218,92.727,6.126,Lesotho,20.9949408,,1.313910199,105.524037,50.036,0.278,0.54947547,,,,22.7,,0.529024432,66.42205811,3318.773796,0.497367956,,11.21661
,0.109462,13.3185,,0.008,50.55,,45,16.0698,,53.47387695,,1.136115567,,13094.58866,0.816046154,77.17617798,,12.7372,,58.42068504,,78.1145,39.64539337,99,19.98632813,10.76073258,,73.043,,0.712104723,,35.9987129,,-9.142,,18.3,4.204,,7599.99832,,,16.6,,10379.08651,,1.03,51.77,0.656625,,1.125409719,70.967,,,,23.44289311,13.04347826,0.076,13.14584913,56.30731964,69.23076923,,51.029,8.6,Saint Vincent and the Grenadines,29.83005065,,0.937418011,103.654433,75.242,0.009,,,,,,,0.701161062,66.83092499,10372.44185,0.721578042,,13.49310996
,46.050302,11.08,0.577195538,1.291,25.622,0.399592215,510,2.26663,0.339368264,60.91048813,34.12389804,133.5925221,,3405.263349,0.648676923,72.12982178,0.919300579,32.0911,,45.20303227,77.96503,44.8068,17.63197517,146,9.21163559,5.068765687,6.98,62.164,29.52423758,0.440509363,,75.80069659,0.530616192,-0.232,,49.4,2.46131,0.390913915,2356.58995,,22.89552,35.5,29.37827667,2901.012941,,1.03,45.622801,0.518247727,27.81264668,1.031386196,60.283,,33.14821,5.68,21.51847039,20.81339713,25.462,11.36,62.10597992,7.753803985,32.028,90.875,6.314098465,Kenya,18.92545793,,1.351305055,80.678203,64.077,7.166,0.564672486,,,,5.9,,0.507642749,67.09063721,2880.739597,0.554678518,,10.8
,8.481855,11.26186,0.649769579,0.255,26.782,0.614967325,32,4.98187,0.418215294,61.0121727,88.24,22.19015502,,3088.489834,0.7628,77.51445007,0.929544063,23.2348,,20.22647051,99.77334,,16.75933647,129,10.92651749,4.836669072,11.19041,69.582,15.20935636,0.585564946,,56.04841127,0.603989454,-2.923,,44.8,28.7599,0.532037618,2099.880405,100,6.54325,38.5,14.93581333,2616.191272,22.28986,1.05,18.98,0.658023444,98.05,0.89912474,66.346,10.64759,15.02939,9.56495,,14.73684211,5.273,11.93446,59.44608307,2.943698199,93.284,38.068,10.35582,Tajikistan,22.46465394,98.1896,0.845733428,98.59026,73.362,1.176,0.322360802,26.3745,,,0.3,-4.982604,0.492188174,68.49645233,2600.585607,0.627472084,,10.56463
,78.66583,14.59658499,0.797234328,5.931,73.397,0.573770905,16,2.3529,0.617908931,45.12176895,64.7694,1491.39597,,27034.155,0.854276923,71.44126892,0.908390997,11.4537,27.5,92.82741279,95.01062,58.7815,16.39976883,71,10.26461983,11.28703078,8.7946,75.528,15.92163055,0.756430607,,38.43420024,0.724200486,5.299,,13.5,0.19423,0.644877705,10649.1512,,14.15618819,11.6,15.80529606,18958.62498,,1.05,53.744979,0.668389361,43.47678,1.125263429,72.275,,21.806,7.00236,20.30157069,14.90909091,52.543,15.03767395,30.35321808,15.22159999,54.00946,27.614,7.88786,Turkey,29.77143562,,1.331070551,96.021349,78.735,6.821,0.327620374,,,,,0.5141872,0.790225504,50.28314209,18704.52728,0.76699597,,14.01076016
,32.526562,10.05375,0.572030684,0.803,26.703,0.21938454,396,0.880685,0.394799864,47.47581482,35.396,59.20824077,,3148.087355,0.626215385,83.64586639,0.608917923,35.7297,,0.350862196,38.15612,53.2101,19.86692429,169,9.58131218,4.616073461,5.75,60.704,31.85557917,0.402470506,,82.33839058,0.348319736,3.128,,91.1,1.56866,0.326667321,510.7955148,,44.82338,66.3,30.44002667,1820.304303,,1.06,8.26,0.397604167,8.774,1.010925597,59.524,,10.767,1.56,21.22864224,27.44479495,17.398,13.10314,19.05142403,2.067824648,22.194,73.969,3.55,Afghanistan,17.52792399,,1.502280747,61.577619,61.97,4.95,0.666664075,,,,0.1,-0.437159,0.442437062,52.50664139,1870.827131,0.479375006,,8.29857
,160.995642,10.178706,0.599415193,8.007,34.277,0.286788966,176,1.73276,0.380229304,59.3885231,44.262,504.9726629,,4285.370307,0.799769231,80.98085785,0.926987911,20.0702,,59.69055197,61.54588,42.086,11.56575966,139,4.443553925,7.584014398,5.623,71.985,28.89819996,0.639253947,,44.90273436,0.555650638,-2.849,,37.6,7.88804,0.411554303,2379.160802,,37.30855,30.7,28.54826667,3136.561069,,1.05,14.4,0.457461051,42.012,1.026752454,70.749,,28.26605,5.04632048,28.88669115,20,105.58,9.925551207,43.13159943,10.97795191,43.137,83.02,5.241576537,Bangladesh,25.60181074,,1.148587785,83.360993,73.316,15.331,0.520275521,,,,0.1,-1.861199,0.530054882,62.1502037,3341.490722,0.578824028,,10.44562437
,4.067564,8.46379,0.554597896,0.131,59.859,0.223420717,602,,0.424107383,32.53525162,23.456,,,5421.723338,0.665215385,65.30820465,0.818066634,33.6802,,,52.102,,47.25545502,157,31.08639717,5.653954611,5.38,63.239,32.36141965,0.441169513,,70.48413721,0.453698034,-1.045,,84.7,,0.347057624,1608.432165,,40.78516,65.1,31.88945333,,,1.05,15.199127,0.377305278,11.094,1.188921791,61.736,,21.203,3.256,,22.16748768,2.308,8.50423,29.100811,0.217813137,17.278,78.643,4.266,Mauritania,19.77406908,,1.216271784,89.32066,64.743,0.601,0.626496876,5.62173,,,0.6,,0.53822783,47.21165466,3527.264154,0.513106014,,8.42148
,77.266814,9.75,0.468927144,2.291,42.494,0.34328074,693,-1.44101,0.207813178,68.39835358,34.966,56.92093546,,761.1460997,0.600876923,71.76605225,0.831958804,39.0617,,9.680186512,77.28964,64.4639,6.165462494,176,3.826145887,5.806728951,8.050895833,59.057,31.86349254,0.366164182,,90.10602824,0.390128066,-0.268,,98.3,0.013387,0.296710417,598.5383911,,27.69055,74.5,31.65462,736.6802449,,1.03,3.8,0.47473842,14.478,1.234339226,57.6,,28.21161,4.017567408,16.14737455,8.166666667,39.44,9.96476,70.4878006,67.3024415,24.64,122.613,6.117152596,Congo (Democratic Republic of the),16.88812238,,1.457074842,52.989072,60.519,13.876,0.662960014,,,,0.8,-3.040978,0.289480205,71.11949158,679.6312234,0.43546467,,8.7
,93.447601,12.627351,0.680552638,6.3,33.593,0.508206105,54,6.09506,0.471958517,76.73149872,76.7190668,519.7769597,,5844.758438,0.8606,83.16378021,1.009591863,14.1536,43.1,128.3474764,94.50683,178.767,5.284964085,115,2.058134079,9.605993412,8.2,75.939,17.79619571,0.738794118,,32.90544592,0.687080406,-0.44,,21.7,6.8182,0.56168011,4835.08553,,17.63946,17.3,17.74236333,5667.998051,,1.11,52.72,0.617050477,63.968,1.095549282,71.207,,21.43403,7.85,24.6788038,24.29718876,65.571,12.507969,73.7776413,47.64408037,71.72536804,38.634,7.988721822,Viet Nam,30.44539868,,1.067524208,130.639686,80.577,7.741,0.337376054,,,,0.5,-5.493313,0.60071621,78.34392548,5334.526859,0.683277514,,12.886692
,0.184999,13.143566,0.739818897,0.016,18.504,0.614484698,48,6.61594,0.502749411,55.58653641,41.99041,1.913549042,,11617.00214,0.849215385,76.47857666,0.985880058,10.0842,,97.37157795,,95.3264,47.17131424,92,20.11165428,13.25534355,9.250758098,75.199,15.99006165,0.763578807,,34.06969707,0.729372697,0.044,,14.3,2.0988,0.617881942,8033.207896,,9.17726,12.7,15.55244,10343.56425,,1.03,52.35,0.676575821,48.24298,1.391431681,72.545,,27.39586,9.425429775,20.76192083,20.68965517,0.126,12.864315,63.0530777,33.27868852,45.2486,53.906,9.344302952,Saint Lucia,31.2278522,,1.768320915,101.516192,77.956,0.014,0.353548256,,,,,,0.692452815,69.58028412,9791.388111,0.735486723,,13.400651
,0.031781,15.1112,,,94.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,2.6,,,,,,,,,,,,,,16.66666667,,14.62155,,0,,,,San Marino,,,,115.162568,,,,,,,,,0.938943245,,50063.28591,,,15.63331
,2.959134,14.84552,0.725411483,0.12,72.04,0.667804172,44,1.67088,0.615614172,58.09583664,85.83206943,33.94394457,,12122.30273,0.766246154,68.79309082,1.025671593,17.0625,50.2,69.33739284,98.38402,86.9799,14.73985291,92,7.071959496,5.970648213,9.5,69.806,13.00300214,0.635505404,,41.67813026,0.744033951,-1.058,,22.4,2.2565,0.639281782,8809.269754,,9.435,19,12.94583333,11470.90486,,1.03,21.436031,0.737375556,89.67009301,1.058000547,65.632,,12.34,10.042,18.18801961,14.47368421,2.004,14.20773,56.46665955,8.080022658,87.76,15.674,9.75,Mongolia,27.33384594,,1.035587327,104.964198,74.22,0.338,0.278192212,,,,0.1,-3.849045,0.702274894,62.51700974,10449.20727,0.734832003,,15.49674
,64.395345,16.26508,0.902337548,12.312,79.52,0.776291961,8,1.82445,0.7515269,49.38035965,85.51405,2492.332941,,44783.22231,0.959369231,60.05064392,0.988149758,4.0429,50.5,148.4136743,,61.3603,24.69115448,21,10.55459785,30.64383055,11.82666145,82.359,9.425195629,0.920582892,,29.62296676,0.89164463,1.041,,4.3,0.964087,0.812850804,31734.4967,,7.50871,3.5,9.276236667,37305.69062,,1.05,84.6945,0.839313584,79.71747,0.984536827,79.407,,16.2771,11.47547615,21.4858646,25.72972973,40.18,15.92431,50.71619415,31.02690679,82.46647,8.932,11.62517418,France,41.23637504,,0.927467434,102.613158,85.247,3.927,0.102109383,,,,,1.409942,0.897636011,55.20726013,38085.40033,0.897435892,,16.61304
,18.502413,8.95343,0.557935664,0.753,57.656,0.286003547,68,,0.394199954,36.5252037,43.40641141,,,4006.78013,0.763876923,70.84741974,0.851469898,14.4913,,,86.43327,,28.54535103,149,12.33176517,6.910543106,5.6,69.652,21.78306407,0.653181227,,63.11992606,0.475065423,-41.098,,12.9,,0.419154269,834.8853777,,31.489,11.1,21.43242667,,,1.05,29.979797,0.417456389,34.776,1.246063585,63.902,,18.31698,4.6297251,,12.4,10.881,8.99088,12.17229843,2.673855035,38.938,39.449,5.0625,Syrian Arab Republic,20.79400162,,3.270958428,62.446425,76.586,2.192,0.553682381,,,,,,0.482597184,41.66298294,2440.599224,0.535886844,,8.91482
20.5152,11.609666,10.76172,0.494870315,0.324,28.811,0.301129418,290,3.99217,0.267399484,82.91484833,16.42211528,19.21603305,0.253495,1822.217853,0.688446154,83.19273376,0.992439123,29.7838,,,70.51592,45.3315,3.047341108,159,2.354050636,4.967858534,4.398143743,64.749,31.88964742,0.483400728,6263.24,73.10075768,0.491128662,-1.37,,41.7,1.99358,0.33890165,1428.147163,,29.25386,31.1,31.81049333,1655.175355,,1.02,18,0.425647842,10.46446283,1.071447133,61.786,,36.39382,3.332693333,25.6981326,57.54716981,6.519,9.32695,86.40516663,19.45683016,13.1968508,26.336,3.801335247,Rwanda,19.22973692,,1.05572898,70.482905,67.4,1.695,0.383088272,,53.9485,46.9883,2.9,-4.034107,0.420398589,84.91376495,1616.85733,0.497577295,25.0392,11.3719
,5.426258,14.96488,0.84618066,0.751,53.598,0.811687926,6,2.48284,0.748171015,52.77207947,99.50124,148.5874963,,33773.30796,0.867830769,68.32090759,0.990791169,5.2733,47.6,74.42547021,99.6192,185.164,25.19418526,40,11.34083652,19.49150322,12.31851,76.409,6.113596078,0.822067449,,21.29152558,0.838388325,0.044,,7.3,2.46884,0.7932909,20170.0472,,1.40498,5.8,6.022896667,27394.19738,,1.05,85.019514,0.823254487,99.20074,0.980572518,72.676,,11.39041,11.98215,23.01577542,18.66666667,3.854,14.43417,51.4045105,40.34270504,99.34427,20.173,12.22690128,Slovakia,39.08885406,,1.255281128,122.310164,80.043,0.283,0.179494907,,,,,0.1255078,0.84434542,59.52241516,26763.61725,0.844947582,,15.51586
,10.787104,,,0.305,39.551,,732,8.6679,,50.17142868,,,,418.3821312,0.549430769,75.89633179,,42.0665,,,,75.7937,11.74355698,,7.537808418,5.595380751,,55.713,,0.318304475,,92.53861068,,-7.855,,136.8,,,170.0341791,,43.51879,85,,,,1.03,1.76,,,1.057516147,54.089,,,,8.046363178,13.81818182,5.443,,33.24261475,10.14282526,,103.91,,Somalia,16.47868023,,1.211165199,52.469223,57.362,1.971,,,,,0.5,,0.162703772,54.26156235,293.6184294,,,
,31.37667,13.38634,0.753772226,2.14,78.609,0.535562547,68,3.57198,0.503311868,71.48357391,66.95919,366.2329586,,13658.06001,0.843292308,82.6084671,0.958576275,14.2329,,27.56901899,94.47953,44.6239,9.282446861,87,3.515837431,10.45530635,9.51327,74.814,21.61530485,0.723267357,,42.73275693,0.722548172,-1.58,,16.9,1.41868,0.579849666,8936.203659,,20.33778,13.1,21.36059567,11672.14235,,1.05,40.9,0.672291768,56.20445,1.04329681,72.21,,29.511107,8.43763,24.3450298,22.30769231,20.483,13.24672,65.72908783,57.79140625,61.54794,49.063,9.013469696,Peru,27.48773493,,1.245803902,109.866906,77.48,3.02,0.385147318,,,,0.3,-5.139712,0.714030035,74.08840179,11294.84033,0.739748576,,13.53226
,0.264652,10.795,,0.011,26.128,0.434229861,78,,0.410243165,67.98388672,,,,3453.055486,0.801646154,80.52151489,,15.4465,,,85.22518,,8.818194389,134,4.313375473,7.084706647,,72.107,17.16909681,0.677819881,,61.63497153,,0.481,,27.5,,0.494263394,2139.128925,,17.49305,23.1,17.15918333,,,1.07,22.351405,0.526294889,,1.062031197,70.152,,18.538,,,0.1,0.156,11.1436205,61.64444351,36.09515997,,43.09,6.793013333,Vanuatu,22.16028645,,1.306810096,66.247044,74.263,0.035,,,,,,,0.503600654,71.04847717,2804.676229,0.596713757,,10.42379164
,0.010222,9.68,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,29.1,,,,,,,,,,,,,,5.263157895,,9.175407758,,0,,,,Nauru,,,,,,,,,,,,,0.7239099,,12058.27854,,,10.24050159
,5.210967,17.67187,0.950641423,0.852,80.473,0.893595159,5,-1.54054,0.882424337,62.17772293,94.59967,334.879907,,75300.90188,0.9494,68.5305481,0.993472045,3.2982,48.7,,,68.5212,10.08681679,1,4.1479249,24.8603999,12.7016,81.711,5.425435352,0.918086889,,27.3499947,0.944435679,9.331,,2.6,0.157037,0.897912512,59812.95697,,2.42101,2,5.35765,64450.53861,,1.06,96.8103,0.915765944,96.06881,0.865376124,79.716,,10.35374,12.79505,23.25437914,39.64497041,3.424,17.07009,61.17845917,33.16130269,95.33606,5.898,12.74642,Norway,39.12746022,,0.836965161,113.577046,83.691,0.315,0.052565158,,,,,14.55297,0.984340381,64.86841583,67614.35348,0.949422834,,18.30663
,17.215232,10.75378,0.494555621,0.592,16.272,0.319770472,634,2.17048,0.241986071,75.52966309,24.244,19.16033461,,1175.41398,0.675076923,80.76908112,0.92089342,32.7368,,,65.79427,61.9457,8.884467125,170,6.74263525,6.695107838,5,63.88,31.18151545,0.454078341,,87.8512707,0.455433017,-0.375,,64,0.586215,0.327531573,971.512498,,28.21397,43.4,31.15056333,1112.987302,,1.03,9.298148,0.445449444,14.948,0.95467075,62.851,,32.50092,3.782,12.78605073,16.66666667,8.849,10.76719,81.20821381,33.37929571,19.578,136.161,4.402,Malawi,17.18937446,,1.113543508,35.336422,64.79,2.954,0.614085331,,,,9.1,,0.358502769,80.99055481,1073.290846,0.475935463,,10.68054
,10.879829,10.686,0.537576543,0.315,43.95,0.228468031,405,2.70469,0.318405016,70.89592743,30.848,21.60313918,,2286.758879,0.611692308,73.39833832,0.858066435,37.0091,,19.60275273,38.44714,62.7643,2.282050371,167,1.075802922,5.261408648,4.26,59.76,37.38034555,0.38531049,,76.72078324,0.461276388,-0.196,,99.5,3.58954,0.303765693,1673.31722,,44.79226,64.2,37.06443667,1985.613853,,1.04,6.787703,0.413833333,15.774,1.556850942,58.309,,29.39195,2.84,26.00933535,7.228915663,5.978,13.73048,69.97592926,38.23164243,23.272,83.183,3.51,Benin,18.63842212,,1.326353547,85.644323,61.203,1.708,0.612688948,,,,1.1,,0.450947188,71.66691589,1979.250627,0.485096406,,10.53545
,11.389562,13.93739,0.792382413,1.591,77.074,0.693685266,39,,,53.94000244,86.70678351,,,9873.602623,0.916507692,68.64891052,0.946306304,5.4869,,,99.71157,,6.534590721,68,2.983660221,20.04085123,12,79.573,,0.866219832,,23.3862695,0.749836473,-1.41,,5.5,,,5013.341536,,10.93381,4,,,,1.06,31.10797,0.778842416,83.90553207,1.031238,77.563,,,11.54,,48.85620915,7.941,13.54034,42.55416489,30.06134393,84.826,45.639,11.7507808,Cuba,41.21989496,,1.278739636,29.650728,81.629,0.588,0.304379058,,,,0.3,,0.651273526,55.59888458,7455.062477,0.774669359,,14.36704
,0.625781,15.13368,0.826508376,0.086,64.026,0.737932088,7,17.5257,0.657355474,39.97852707,96.22728601,9.342345718,,19149.26619,0.867707692,56.12306595,0.954691954,5.2053,47.8,59.89333796,98.73229,104.354,37.53705215,48,18.20599174,20.15512659,11.96928637,76.401,8.799516106,0.822540904,,27.55526916,0.789060897,-0.773,90.34223,4.7,9.54737,0.73619251,11756.87638,,7.36696,4.3,8.72888,15010.48497,,1.07,64.564993,0.796618667,86.91315131,1.004677516,74.226,55.35472,13.61438,10.65234776,22.85364838,17.28395062,0.424,14.978064,41.95240784,61.48698885,89.21613,12.248,11.28716,Montenegro,37.55741836,94.30672,1.109863352,162.155944,78.555,0.037,0.156094067,,,,,-20.52594,0.760954745,48.87708664,15409.60512,0.807224346,,15.697746
,0.055572,13.65943,,,32.047,,,8.47821,,,,1.274513838,,,0.830446154,,,,,78.99771319,,78.9844,,74,,,,73.979,,,,,,,,10.5,5.61461,,,,,8.4,,22934.46049,,,75.7,0.659428611,,,,,,,29.04664453,13.33333333,,13.51071843,,42.30769231,,,8.4,Saint Kitts and Nevis,,,,131.842314,,,,,,,,,0.817705928,,22436.47559,0.765054082,,13.81200949
,7.304578,11.96578,0.528490086,0.202,39.964,0.298886594,368,1.31545,0.292918636,74.64896393,36.12442981,10.03532779,,1411.625787,0.618076923,80.6265564,0.840527588,32.3565,,42.00230294,66.5473,106.587,12.20109463,166,7.688574791,5.027216495,6.287605,60.175,31.8720823,0.418088863,,76.80385977,0.444210498,-0.292,,78.4,9.92722,0.332027467,1116.216073,,38.87913,52.3,31.58451333,1373.84087,,1.02,7.12,0.489009063,23.144,1.095456208,59.391,,23.51791,3.183328909,21.32935205,17.58241758,4.019,13.07355305,81.09570313,3.456517742,33.336,92.01,4.698788565,Togo,18.7400314,,1.212035439,64.948443,60.887,1.16,0.555502696,,,,2.4,,0.382989843,80.86643982,1262.17409,0.487358896,,10.84183895
,1376.048943,13.53575,0.752579935,131.429,55.614,,27,2.29936,0.520912358,67.63502502,79.418832,18374.71407,,15830.03775,0.860969231,77.9327774,0.954432024,8.9142,,196.9376975,96.37548,41.2005,12.05360508,90,4.617517948,13.04503243,7.928852248,75.963,,0.784220712,,23.53490999,0.718286391,-0.265,,10.7,0.409014,,10704.8377,,,9.2,,13400.26697,,1.16,50.3,0.630721054,69.81,0.938923531,74.5,,29.5332,7.151673702,,23.62284556,1000,13.35850783,63.57952499,22.18966958,74.986,7.305,7.641839959,China,36.96286046,,0.788158077,93.161421,77.547,83.186,0.163698656,,,,,0.0405996,0.739230897,70.90926361,13345.47746,0.73768059,,13.73397479
